signal_date,ticker,strategy,signal,close,rsi,deviation,score,adx,ret_5d,ticker_class
2026-05-08,MSFT,逆張り,HOLD,415.12,52.8,1.88,,,,
2026-05-08,MSTR,逆張り,HOLD,187.59,67.7,18.82,,,,
2026-05-08,MU,逆張り,HOLD,746.81,86.7,52.36,,,,
2026-05-08,NUGT,逆張り,HOLD,193.89,55.2,-0.65,,,,
2026-05-08,NVDA,逆張り,HOLD,215.2,67.7,10.11,,,,
2026-05-08,QCOM,逆張り,HOLD,219.09,87.8,42.91,,,,
2026-05-08,QQQ,逆張り,HOLD,711.23,87.0,10.93,,,,
2026-05-08,SOFI,逆張り,HOLD,15.75,35.9,-10.28,,,,
2026-05-08,SOXL,逆張り,HOLD,176.94,78.0,77.16,,,,
2026-05-08,SOXS,逆張り,HOLD,8.85,20.1,-61.48,,,,
2026-05-08,SPXS,逆張り,SELL,27.82,22.4,-15.81,,,,
2026-05-08,SPY,逆張り,HOLD,737.62,78.9,5.63,,,,
2026-05-08,SQQQ,逆張り,HOLD,42.57,14.9,-29.17,,,,
2026-05-08,TECL,逆張り,HOLD,193.09,88.0,46.37,,,,
2026-05-08,TQQQ,逆張り,HOLD,76.28,87.5,32.89,,,,
2026-05-08,TSLL,逆張り,HOLD,15.62,75.9,18.9,,,,
2026-05-08,TSM,逆張り,HOLD,411.68,64.8,9.55,,,,
2026-05-08,UPRO,逆張り,HOLD,139.22,78.3,15.91,,,,
2026-05-11,AAPL,トレンドフォロー,HOLD,292.68,75.5,8.33,,,,
2026-05-11,AMAT,トレンドフォロー,HOLD,443.62,68.7,14.73,,,,
2026-05-11,AMD,トレンドフォロー,HOLD,458.79,82.1,51.88,,,,
2026-05-11,AMZN,トレンドフォロー,HOLD,268.99,66.4,9.26,,,,
2026-05-11,AVGO,トレンドフォロー,HOLD,428.43,64.1,11.55,,,,
2026-05-11,CLSK,トレンドフォロー,HOLD,14.3,69.7,22.19,,,,
2026-05-11,COIN,トレンドフォロー,HOLD,216.6,66.1,12.02,,,,
2026-05-11,FNGG,トレンドフォロー,HOLD,237.02,81.4,19.3,,,,
2026-05-11,GOOGL,トレンドフォロー,HOLD,388.64,70.5,12.75,,,,
2026-05-11,INTC,トレンドフォロー,HOLD,129.44,87.2,68.06,,,,
2026-05-11,IWM,トレンドフォロー,HOLD,285.33,68.1,5.87,,,,
2026-05-11,META,トレンドフォロー,HOLD,598.86,34.5,-4.99,,,,
2026-05-11,MSFT,トレンドフォロー,HOLD,412.66,50.5,1.22,,,,
2026-05-11,MSTR,トレンドフォロー,HOLD,195.94,72.1,22.67,,,,
2026-05-11,MU,トレンドフォロー,BUY,795.33,88.7,57.47,,,,
2026-05-11,NUGT,トレンドフォロー,HOLD,206.3,61.2,5.41,,,,
2026-05-11,NVDA,トレンドフォロー,HOLD,219.44,71.0,11.61,,,,
2026-05-11,QCOM,トレンドフォロー,BUY,237.53,90.4,50.89,,,,
2026-05-11,QQQ,トレンドフォロー,HOLD,713.29,87.4,10.64,,,,
2026-05-11,SOFI,トレンドフォロー,HOLD,16.26,43.0,-7.04,,,,
2026-05-11,SOXL,トレンドフォロー,HOLD,190.42,80.7,82.58,,,,
2026-05-11,SOXS,トレンドフォロー,SELL,8.2,19.0,-63.16,,,,
2026-05-11,SPXS,トレンドフォロー,HOLD,27.66,21.7,-15.62,,,,
2026-05-11,SPY,トレンドフォロー,HOLD,739.3,79.7,5.56,,,,
2026-05-11,SQQQ,トレンドフォロー,HOLD,42.22,14.6,-28.72,,,,
2026-05-11,TECL,トレンドフォロー,HOLD,200.7,89.4,48.37,,,,
2026-05-11,TQQQ,トレンドフォロー,HOLD,76.96,88.0,31.88,,,,
2026-05-11,TSLL,トレンドフォロー,BUY,16.84,80.7,26.41,,,,
2026-05-11,TSM,トレンドフォロー,HOLD,404.54,58.6,7.25,,,,
2026-05-11,UPRO,トレンドフォロー,HOLD,140.09,79.1,15.7,,,,
2026-05-11,AAPL,逆張り,HOLD,292.68,75.5,8.33,,,,
2026-05-11,AMAT,逆張り,HOLD,443.62,68.7,14.73,,,,
2026-05-11,AMD,逆張り,HOLD,458.79,82.1,51.88,,,,
2026-05-11,AMZN,逆張り,SELL,268.99,66.4,9.26,,,,
2026-05-11,AVGO,逆張り,HOLD,428.43,64.1,11.55,,,,
2026-05-11,CLSK,逆張り,HOLD,14.3,69.7,22.19,,,,
2026-05-11,COIN,逆張り,HOLD,216.6,66.1,12.02,,,,
2026-05-11,FNGG,逆張り,HOLD,237.02,81.4,19.3,,,,
2026-05-11,GOOGL,逆張り,HOLD,388.64,70.5,12.75,,,,
2026-05-11,INTC,逆張り,HOLD,129.44,87.2,68.06,,,,
2026-05-11,IWM,逆張り,HOLD,285.33,68.1,5.87,,,,
2026-05-11,META,逆張り,HOLD,598.86,34.5,-4.99,,,,
2026-05-11,MSFT,逆張り,HOLD,412.66,50.5,1.22,,,,
2026-05-11,MSTR,逆張り,HOLD,195.94,72.1,22.67,,,,
2026-05-11,MU,逆張り,HOLD,795.33,88.7,57.47,,,,
2026-05-11,NUGT,逆張り,HOLD,206.3,61.2,5.41,,,,
2026-05-11,NVDA,逆張り,HOLD,219.44,71.0,11.61,,,,
2026-05-11,QCOM,逆張り,HOLD,237.53,90.4,50.89,,,,
2026-05-11,QQQ,逆張り,HOLD,713.29,87.4,10.64,,,,
2026-05-11,SOFI,逆張り,HOLD,16.26,43.0,-7.04,,,,
2026-05-11,SOXL,逆張り,HOLD,190.42,80.7,82.58,,,,
2026-05-11,SOXS,逆張り,HOLD,8.2,19.0,-63.16,,,,
2026-05-11,SPXS,逆張り,HOLD,27.66,21.7,-15.62,,,,
2026-05-11,SPY,逆張り,HOLD,739.3,79.7,5.56,,,,
2026-05-11,SQQQ,逆張り,HOLD,42.22,14.6,-28.72,,,,
2026-05-11,TECL,逆張り,HOLD,200.7,89.4,48.37,,,,
2026-05-11,TQQQ,逆張り,HOLD,76.96,88.0,31.88,,,,
2026-05-11,TSLL,逆張り,HOLD,16.84,80.7,26.41,,,,
2026-05-11,TSM,逆張り,SELL,404.54,58.6,7.25,,,,
2026-05-11,UPRO,逆張り,HOLD,140.09,79.1,15.7,,,,
2026-05-12,AAPL,トレンドフォロー,HOLD,294.8,77.7,8.72,,,,
2026-05-12,AMAT,トレンドフォロー,HOLD,431.2,61.4,10.89,,,,
2026-05-12,AMD,トレンドフォロー,HOLD,448.29,77.2,44.98,,,,
2026-05-12,AMZN,トレンドフォロー,HOLD,265.82,59.5,7.55,,,,
2026-05-12,AVGO,トレンドフォロー,HOLD,419.3,57.0,8.69,,,,
2026-05-12,CLSK,トレンドフォロー,HOLD,13.47,58.3,14.26,,,,
2026-05-12,COIN,トレンドフォロー,HOLD,207.64,57.9,7.0,,,,
2026-05-12,FNGG,トレンドフォロー,HOLD,233.29,74.4,16.43,,,,
